Measure Names,Municipio,Measure Values
Escolaridad Superior,Delicias,0.216
PEA Con alguna limitación física o mental,Delicias,0.025
PEA Dedicadas a quehaceres del hogar,Delicias,0.361
PEA En otras actividades no económicas,Delicias,0.086
PEA Estudiantes,Delicias,0.356
PEA Hombres,Delicias,0.575
PEA Mujeres,Delicias,0.425
PEA Pensionadas/ jubiladas,Delicias,0.172
PEA Población Económicamente Activa,Delicias,0.619
PEA Población no económicamente activa,Delicias,0.38
Población*,Delicias,150506
TIC Computadora,Delicias,0.414
TIC Internet,Delicias,0.591
TIC Línea telefónica fija,Delicias,0.387
TIC Televisión de paga,Delicias,0.562
TIC Teléfono celular,Delicias,0.941
Brechas de género en Créditos** Banca Banca de desarrollo (Brecha),Julimes,-999
Brechas de género en Créditos** Banca de desarrollo (Hombres),Julimes,0
Brechas de género en Créditos** Banca de desarrollo (Mujeres),Julimes,0
Brechas de género en Créditos** Banca múltiple (Brecha),Julimes,6
Brechas de género en Créditos** Banca múltiple (Hombres),Julimes,400
Brechas de género en Créditos** Banca múltiple (Mujeres),Julimes,405
Brechas de género en Créditos** SOCAP (Brecha),Julimes,-62
Brechas de género en Créditos** SOCAP (Hombres),Julimes,384
Brechas de género en Créditos** SOCAP (Mujeres),Julimes,339
Brechas de género en Créditos** SOFIPO (Brecha),Julimes,-999
Brechas de género en Créditos** SOFIPO (Hombres),Julimes,0
Brechas de género en Créditos** SOFIPO (Mujeres),Julimes,0
Brechas de género en Créditos** Total créditos (Brechas),Julimes,-26
Brechas de género en Créditos** Total créditos (Hombres),Julimes,784
Brechas de género en Créditos** Total créditos (Mujeres),Julimes,744
Brechas de género en Cuentas** Banca Banca de desarrollo (Brecha),Julimes,-999
Brechas de género en Cuentas** Banca de desarrollo (Hombres),Julimes,0
Brechas de género en Cuentas** Banca de desarrollo (Mujeres),Julimes,0
Brechas de género en Cuentas** Banca múltiple (Brecha),Julimes,-61
Brechas de género en Cuentas** Banca múltiple (Hombres),Julimes,303
Brechas de género en Cuentas** Banca múltiple (Mujeres),Julimes,268
Brechas de género en Cuentas** SOCAP (Brecha),Julimes,51
Brechas de género en Cuentas** SOCAP (Hombres),Julimes,2020
Brechas de género en Cuentas** SOCAP (Mujeres),Julimes,2235
Brechas de género en Cuentas** SOFIPO (Brecha),Julimes,-999
Brechas de género en Cuentas** SOFIPO (Hombres),Julimes,7
Brechas de género en Cuentas** SOFIPO (Mujeres),Julimes,21
Brechas de género en Cuentas** Total cuentas (Brechas),Julimes,4
Brechas de género en Cuentas** Total cuentas (Hombres),Julimes,2330
Brechas de género en Cuentas** Total cuentas (Mujeres),Julimes,2524
Cajeros Automáticos Banca de desarrollo,Julimes,0
Cajeros Automáticos Banca múltiple,Julimes,0
Cajeros Automáticos SOCAP,Julimes,0
Cajeros Automáticos SOFIPO,Julimes,0
Cajeros Automáticos Total,Julimes,0
Corresponsales Máximos,Julimes,0
Créditos Banca de desarrollo,Julimes,0
Créditos Banca múltiple,Julimes,977
Créditos SOCAP,Julimes,723
Créditos SOFIPO,Julimes,0
Créditos Total,Julimes,1700
Cuentas Banca de desarrollo,Julimes,0
Cuentas Banca múltiple,Julimes,574
Cuentas SOCAP,Julimes,4255
Cuentas SOFIPO,Julimes,28
Cuentas Total,Julimes,4857
Medios de pago - transacciones en TPV Banca de desarrollo,Julimes,0
Medios de pago - transacciones en TPV Banca múltiple,Julimes,2330
Medios de pago - transacciones en TPV SOCAP,Julimes,0
Medios de pago - transacciones en TPV SOFIPO,Julimes,0
Medios de pago - transacciones en TPV Total,Julimes,2330
Remesas Ingreso por remesas por persona,Julimes,559
Remesas Millones de dólares,Julimes,28
Sucursales Banca de desarrollo,Julimes,0
Sucursales Banca múltiple,Julimes,1
Sucursales SOCAP,Julimes,1
Sucursales SOFIPO,Julimes,0
